Bin Center,Bin Height,Detector,Resolution
447.5,18.0,V02160A,0.5841470998617991
448.5,27.0,V02160A,0.5841470998617991
449.5,27.0,V02160A,0.5841470998617991
450.5,34.0,V02160A,0.5841470998617991
451.5,25.0,V02160A,0.5841470998617991
452.5,26.0,V02160A,0.5841470998617991
453.5,28.0,V02160A,0.5841470998617991
454.5,27.0,V02160A,0.5841470998617991
455.5,23.0,V02160A,0.5841470998617991
456.5,26.0,V02160A,0.5841470998617991
457.5,16.0,V02160A,0.5841470998617991
458.5,25.0,V02160A,0.5841470998617991
459.5,27.0,V02160A,0.5841470998617991
460.5,28.0,V02160A,0.5841470998617991
461.5,15.0,V02160A,0.5841470998617991
462.5,21.0,V02160A,0.5841470998617991
463.5,15.0,V02160A,0.5841470998617991
464.5,22.0,V02160A,0.5841470998617991
465.5,21.0,V02160A,0.5841470998617991
466.5,25.0,V02160A,0.5841470998617991
467.5,15.0,V02160A,0.5841470998617991
468.5,28.0,V02160A,0.5841470998617991
469.5,21.0,V02160A,0.5841470998617991
470.5,16.0,V02160A,0.5841470998617991
471.5,22.0,V02160A,0.5841470998617991
472.5,20.0,V02160A,0.5841470998617991
473.5,21.0,V02160A,0.5841470998617991
474.5,13.0,V02160A,0.5841470998617991
475.5,15.0,V02160A,0.5841470998617991
476.5,16.0,V02160A,0.5841470998617991
477.5,17.0,V02160A,0.5841470998617991
478.5,26.0,V02160A,0.5841470998617991
479.5,21.0,V02160A,0.5841470998617991
480.5,27.0,V02160A,0.5841470998617991
481.5,14.0,V02160A,0.5841470998617991
482.5,19.0,V02160A,0.5841470998617991
483.5,17.0,V02160A,0.5841470998617991
484.5,24.0,V02160A,0.5841470998617991
485.5,20.0,V02160A,0.5841470998617991
486.5,25.0,V02160A,0.5841470998617991
487.5,24.0,V02160A,0.5841470998617991
488.5,18.0,V02160A,0.5841470998617991
489.5,20.0,V02160A,0.5841470998617991
490.5,25.0,V02160A,0.5841470998617991
491.5,24.0,V02160A,0.5841470998617991
492.5,13.0,V02160A,0.5841470998617991
493.5,16.0,V02160A,0.5841470998617991
494.5,17.0,V02160A,0.5841470998617991
495.5,17.0,V02160A,0.5841470998617991
496.5,21.0,V02160A,0.5841470998617991
497.5,8.0,V02160A,0.5841470998617991
498.5,21.0,V02160A,0.5841470998617991
499.5,19.0,V02160A,0.5841470998617991
500.5,19.0,V02160A,0.5841470998617991
501.5,23.0,V02160A,0.5841470998617991
502.5,23.0,V02160A,0.5841470998617991
503.5,24.0,V02160A,0.5841470998617991
504.5,15.0,V02160A,0.5841470998617991
505.5,21.0,V02160A,0.5841470998617991
506.5,21.0,V02160A,0.5841470998617991
507.5,26.0,V02160A,0.5841470998617991
508.5,15.0,V02160A,0.5841470998617991
509.5,34.0,V02160A,0.5841470998617991
510.5,54.0,V02160A,0.5841470998617991
511.5,42.0,V02160A,0.5841470998617991
512.5,30.0,V02160A,0.5841470998617991
513.5,27.0,V02160A,0.5841470998617991
514.5,20.0,V02160A,0.5841470998617991
515.5,16.0,V02160A,0.5841470998617991
516.5,13.0,V02160A,0.5841470998617991
517.5,25.0,V02160A,0.5841470998617991
518.5,21.0,V02160A,0.5841470998617991
519.5,17.0,V02160A,0.5841470998617991
520.5,14.0,V02160A,0.5841470998617991
521.5,16.0,V02160A,0.5841470998617991
522.5,19.0,V02160A,0.5841470998617991
523.5,14.0,V02160A,0.5841470998617991
524.5,18.0,V02160A,0.5841470998617991
525.5,13.0,V02160A,0.5841470998617991
526.5,15.0,V02160A,0.5841470998617991
527.5,22.0,V02160A,0.5841470998617991
528.5,16.0,V02160A,0.5841470998617991
529.5,18.0,V02160A,0.5841470998617991
530.5,13.0,V02160A,0.5841470998617991
531.5,16.0,V02160A,0.5841470998617991
532.5,11.0,V02160A,0.5841470998617991
533.5,18.0,V02160A,0.5841470998617991
534.5,13.0,V02160A,0.5841470998617991
535.5,15.0,V02160A,0.5841470998617991
536.5,12.0,V02160A,0.5841470998617991
537.5,14.0,V02160A,0.5841470998617991
538.5,17.0,V02160A,0.5841470998617991
539.5,17.0,V02160A,0.5841470998617991
540.5,17.0,V02160A,0.5841470998617991
541.5,14.0,V02160A,0.5841470998617991
542.5,15.0,V02160A,0.5841470998617991
543.5,12.0,V02160A,0.5841470998617991
544.5,14.0,V02160A,0.5841470998617991
545.5,20.0,V02160A,0.5841470998617991
546.5,20.0,V02160A,0.5841470998617991
547.5,22.0,V02160A,0.5841470998617991
548.5,8.0,V02160A,0.5841470998617991
549.5,17.0,V02160A,0.5841470998617991
550.5,17.0,V02160A,0.5841470998617991
551.5,19.0,V02160A,0.5841470998617991
552.5,17.0,V02160A,0.5841470998617991
553.5,24.0,V02160A,0.5841470998617991
554.5,20.0,V02160A,0.5841470998617991
555.5,19.0,V02160A,0.5841470998617991
556.5,16.0,V02160A,0.5841470998617991
557.5,17.0,V02160A,0.5841470998617991
558.5,15.0,V02160A,0.5841470998617991
559.5,15.0,V02160A,0.5841470998617991
560.5,18.0,V02160A,0.5841470998617991
561.5,15.0,V02160A,0.5841470998617991
562.5,23.0,V02160A,0.5841470998617991
563.5,14.0,V02160A,0.5841470998617991
564.5,17.0,V02160A,0.5841470998617991
565.5,15.0,V02160A,0.5841470998617991
566.5,19.0,V02160A,0.5841470998617991
567.5,17.0,V02160A,0.5841470998617991
568.5,16.0,V02160A,0.5841470998617991
569.5,16.0,V02160A,0.5841470998617991
570.5,14.0,V02160A,0.5841470998617991
571.5,13.0,V02160A,0.5841470998617991
572.5,8.0,V02160A,0.5841470998617991
573.5,15.0,V02160A,0.5841470998617991
574.5,16.0,V02160A,0.5841470998617991
575.5,23.0,V02160A,0.5841470998617991
576.5,16.0,V02160A,0.5841470998617991
577.5,10.0,V02160A,0.5841470998617991
578.5,19.0,V02160A,0.5841470998617991
579.5,12.0,V02160A,0.5841470998617991
580.5,13.0,V02160A,0.5841470998617991
581.5,30.0,V02160A,0.5841470998617991
582.5,40.0,V02160A,0.5841470998617991
583.5,74.0,V02160A,0.5841470998617991
584.5,18.0,V02160A,0.5841470998617991
585.5,16.0,V02160A,0.5841470998617991
586.5,16.0,V02160A,0.5841470998617991
587.5,8.0,V02160A,0.5841470998617991
588.5,16.0,V02160A,0.5841470998617991
589.5,14.0,V02160A,0.5841470998617991
590.5,8.0,V02160A,0.5841470998617991
591.5,20.0,V02160A,0.5841470998617991
592.5,16.0,V02160A,0.5841470998617991
593.5,10.0,V02160A,0.5841470998617991
594.5,19.0,V02160A,0.5841470998617991
595.5,10.0,V02160A,0.5841470998617991
596.5,17.0,V02160A,0.5841470998617991
597.5,21.0,V02160A,0.5841470998617991
598.5,20.0,V02160A,0.5841470998617991
599.5,11.0,V02160A,0.5841470998617991
0,0,V02160A,0.5841470998617991
200.5,449.0,V02160B,0.5648128235604172
201.5,462.0,V02160B,0.5648128235604172
202.5,430.0,V02160B,0.5648128235604172
203.5,465.0,V02160B,0.5648128235604172
204.5,414.0,V02160B,0.5648128235604172
205.5,399.0,V02160B,0.5648128235604172
206.5,409.0,V02160B,0.5648128235604172
207.5,416.0,V02160B,0.5648128235604172
208.5,474.0,V02160B,0.5648128235604172
209.5,433.0,V02160B,0.5648128235604172
210.5,391.0,V02160B,0.5648128235604172
211.5,402.0,V02160B,0.5648128235604172
212.5,416.0,V02160B,0.5648128235604172
213.5,431.0,V02160B,0.5648128235604172
214.5,405.0,V02160B,0.5648128235604172
215.5,420.0,V02160B,0.5648128235604172
216.5,431.0,V02160B,0.5648128235604172
217.5,372.0,V02160B,0.5648128235604172
218.5,355.0,V02160B,0.5648128235604172
219.5,389.0,V02160B,0.5648128235604172
220.5,347.0,V02160B,0.5648128235604172
221.5,371.0,V02160B,0.5648128235604172
222.5,341.0,V02160B,0.5648128235604172
223.5,310.0,V02160B,0.5648128235604172
224.5,321.0,V02160B,0.5648128235604172
225.5,352.0,V02160B,0.5648128235604172
226.5,353.0,V02160B,0.5648128235604172
227.5,323.0,V02160B,0.5648128235604172
228.5,295.0,V02160B,0.5648128235604172
229.5,313.0,V02160B,0.5648128235604172
230.5,326.0,V02160B,0.5648128235604172
231.5,268.0,V02160B,0.5648128235604172
232.5,300.0,V02160B,0.5648128235604172
233.5,294.0,V02160B,0.5648128235604172
234.5,278.0,V02160B,0.5648128235604172
235.5,264.0,V02160B,0.5648128235604172
236.5,265.0,V02160B,0.5648128235604172
237.5,277.0,V02160B,0.5648128235604172
238.5,295.0,V02160B,0.5648128235604172
239.5,234.0,V02160B,0.5648128235604172
240.5,228.0,V02160B,0.5648128235604172
241.5,234.0,V02160B,0.5648128235604172
242.5,186.0,V02160B,0.5648128235604172
243.5,190.0,V02160B,0.5648128235604172
244.5,205.0,V02160B,0.5648128235604172
245.5,197.0,V02160B,0.5648128235604172
246.5,187.0,V02160B,0.5648128235604172
247.5,215.0,V02160B,0.5648128235604172
248.5,197.0,V02160B,0.5648128235604172
249.5,198.0,V02160B,0.5648128235604172
250.5,174.0,V02160B,0.5648128235604172
251.5,191.0,V02160B,0.5648128235604172
252.5,153.0,V02160B,0.5648128235604172
253.5,188.0,V02160B,0.5648128235604172
254.5,183.0,V02160B,0.5648128235604172
255.5,170.0,V02160B,0.5648128235604172
256.5,169.0,V02160B,0.5648128235604172
257.5,149.0,V02160B,0.5648128235604172
258.5,151.0,V02160B,0.5648128235604172
259.5,165.0,V02160B,0.5648128235604172
260.5,172.0,V02160B,0.5648128235604172
261.5,152.0,V02160B,0.5648128235604172
262.5,146.0,V02160B,0.5648128235604172
263.5,176.0,V02160B,0.5648128235604172
